what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271865983204
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271865984692
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1271865984725
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271865988132
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271866020293
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271866070256
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.backwardHistory",1271866100554
activated,editor,jd.ide.eclipse,0.1.3,"jd.ide.eclipse.editors.JDClassFileEditor.macosx.x86",1271866120613
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271866122245
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271866134997
error,log,,,"Unexpected Exception",1271866135923
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1271866139042
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271866140029
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271866140325
error,log,,,"Unexpected Exception",1271866140372
error,log,,,"Unexpected Exception",1271866140946
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271866142730
error,log,,,"Unexpected Exception",1271866143471
error,log,,,"Unexpected Exception",1271866144924
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1271866144963
error,log,,,"Unexpected Exception",1271866145484
error,log,,,"Unexpected Exception",1271866147498
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1271866149219
error,log,,,"Unexpected Exception",1271866151512
error,log,,,"Unexpected Exception",1271866152983
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1271866153031
error,log,,,"Unexpected Exception",1271866153533
error,log,,,"Unexpected Exception",1271866154209
error,log,,,"Unexpected Exception",1271866156048
error,log,,,"Unexpected Exception",1271866157567
error,log,,,"Unexpected Exception",1271866158484
error,log,,,"Unexpected Exception",1271866159079
error,log,,,"Unexpected Exception",1271866161245
error,log,,,"Unexpected Exception",1271866162615
error,log,,,"Unexpected Exception",1271866164065
error,log,,,"Unexpected Exception",1271866165748
error,log,,,"Unexpected Exception",1271866167622
error,log,,,"Unexpected Exception",1271866169129
error,log,,,"Unexpected Exception",1271866170646
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1271866170797
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271866173559
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1271866173851
error,log,,,"Unexpected Exception",1271866173867
error,log,,,"Unexpected Exception",1271866173905
error,log,,,"Unexpected Exception",1271866173907
error,log,,,"Unexpected Exception",1271866174661
error,log,,,"Unexpected Exception",1271866181680
error,log,,,"Unexpected Exception",1271866184693
error,log,,,"Unexpected Exception",1271866187622
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1271866187665
error,log,,,"Unexpected Exception",1271866192710
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1271866192934
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1271866193284
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1271866193437
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1271866195574
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271866201180
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271866202242
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271866203104
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1271866203383
error,log,,,"Unexpected Exception",1271866203398
error,log,,,"Unexpected Exception",1271866203446
error,log,,,"Unexpected Exception",1271866203467
error,log,,,"Unexpected Exception",1271866203469
error,log,,,"Unexpected Exception",1271866204225
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271866207113
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271866207396
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1271866207771
error,log,,,"Unexpected Exception",1271866207786
error,log,,,"Unexpected Exception",1271866207812
error,log,,,"Unexpected Exception",1271866207814
error,log,,,"Unexpected Exception",1271866208748
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1271866233778
error,log,,,"Unexpected Exception",1271866234765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271866236084
error,log,,,"Unexpected Exception",1271866236779
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1271866237922
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1271866238302
error,log,,,"Unexpected Exception",1271866238317
error,log,,,"Unexpected Exception",1271866238346
error,log,,,"Unexpected Exception",1271866238363
error,log,,,"Unexpected Exception",1271866238366
error,log,,,"Unexpected Exception",1271866239296
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1271866240750
error,log,,,"Unexpected Exception",1271866242075
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271866242692
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271866250915
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271866255391
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271866264100
