what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.wordPrevious",1272042945050
error,log,,,"Unexpected Exception",1272042950383
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272042951295
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1272042951531
error,log,,,"Unexpected Exception",1272042951543
error,log,,,"Unexpected Exception",1272042951546
error,log,,,"Unexpected Exception",1272042951569
error,log,,,"Unexpected Exception",1272042951586
error,log,,,"Unexpected Exception",1272042951605
error,log,,,"Unexpected Exception",1272042951607
error,log,,,"Unexpected Exception",1272042952195
error,log,,,"Unexpected Exception",1272042952265
error,log,,,"Unexpected Exception",1272042952388
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272042957308
error,log,,,"Unexpected Exception",1272042958231
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1272042959271
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1272042959520
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1272042959776
error,log,,,"Unexpected Exception",1272042960250
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1272042961722
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1272042962026
error,log,,,"Unexpected Exception",1272042962760
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272042962874
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1272042963365
error,log,,,"Unexpected Exception",1272042963382
